X,Y,Region,material,Site,Feature Number,Excavation istitute,BP,Error,Type,Combine,시대,Name
127.687879E,38.074793N,강원,Charcoal,화천 거례리,1-3-10,Gangwon Archaeological Culture Research Institute,1730,40,중도,,원삼국-백제 한성기,화천 거례리 1-3-10
126.635093E,37.645535N,경기,Charcoal,김포 양촌,2-4(가)-2 ,Korea Institute of Heritage,1730,80,마한,,원삼국-백제 한성기,김포 양촌 2-4(가)-2 
127.194032E,37.72955N,경기,Charcoal,남양주 장현,83,Central Institute of Cultural Heritage,1730,50,마한,,원삼국-백제 한성기,남양주 장현 83
127.200673E,37.577899N,경기,Charcoal,하남 미사리,A 1,Hanyang University,1730,50,중도,,원삼국-백제 한성기,하남 미사리 A 1
126.981489E,37.819986N,경기,Charcoal,양주 광석리,1,Kukbang Cultural Property Research Center,1730,60,중도,,원삼국-백제 한성기,양주 광석리 1
127.192812E,37.579804N,경기,Charcoal,하남 명월동 구산,9 ,Korea Institute of Heritage,1730,60,마한,,원삼국-백제 한성기,하남 명월동 구산 9 
127.266563E,38.109058N,경기,Charcoal,포천 사정리 모래내,15,Central Institute of Cultural Heritage,1730,40 ,중도,,원삼국-백제 한성기,포천 사정리 모래내 15
127.347222E,37.350278N,경기,Charcoal,광주 곤지암리,3,Korea Institute of Heritage,1730,30,중도,No,원삼국-백제 한성기,광주 곤지암리 3
127.347222E,37.350278N,경기,Charcoal,광주 곤지암리,20,Korea Institute of Heritage,1730,30,중도,No,원삼국-백제 한성기,광주 곤지암리 20
127.432718E,37.093609N,경기,Charcoal,안성 매산리,10,Ginam Cultural Heritage Research Center,1730,30,마한,No,원삼국-백제 한성기,안성 매산리 10
128.403668E,37.369631N,강원,Charcoal,평창 중리,철-2,Gangwon Research Institute of Archaeological and Cultural Properties,1730,27,중도,No,원삼국-백제 한성기,평창 중리 철-2
127.07208E,37.205312N,경기,Charcoal,화성 석우리,6 ,Gyounggi Cultural Property Research Institute,1730,36,마한,,원삼국-백제 한성기,화성 석우리 6 
128.586561E,37.267486N,강원,Charcoal,정선 덕천리,철-주,Gangwon Institute of Cultural Heritage,1732,20,중도,Yes,원삼국-백제 한성기,정선 덕천리 철-주
126.828792E,37.202471N,경기,N/A,화성 남양동Ⅱ,3-3 ,Hanbaek Cultural Property Research Institute,1735,22 ,마한,,원삼국-백제 한성기,화성 남양동Ⅱ 3-3 
127.96171E,37.762661N,강원,Charcoal,홍천 성산리,25 ,Gangwon Cultural Property Research Institute,1740,40,중도,,원삼국-백제 한성기,홍천 성산리 25 
127.243675E,37.39228N,경기,Charcoal,광주 장지동,16 ,Gyounggi Cultural Property Research Institute,1740,20,중도,,원삼국-백제 한성기,광주 장지동 16 
127.194032E,37.72955N,경기,Charcoal,남양주 장현,71,Central Institute of Cultural Heritage,1740,50,마한,,원삼국-백제 한성기,남양주 장현 71
126.78707E,37.874197N,경기,Charcoal,문산 당동리,7-1,Gyounggi Cultural Property Research Institute,1740,50,마한,,원삼국-백제 한성기,문산 당동리 7-1
127.364665E,37.795516N,경기,Charcoal,가평 항사리,나-16,Korea Institute of Heritage,1740,50 ,중도,,원삼국-백제 한성기,가평 항사리 나-16
126.828792E,37.202471N,경기,N/A,화성 남양동Ⅱ,3-5 ,Hanbaek Cultural Property Research Institute,1740,30 ,마한,,원삼국-백제 한성기,화성 남양동Ⅱ 3-5 
127.266563E,38.109058N,경기,Charcoal,포천 사정리 모래내,20,Central Institute of Cultural Heritage,1740,40 ,중도,,원삼국-백제 한성기,포천 사정리 모래내 20
127.2135911E,37.2412159N,경기,Charcoal,용인 고림동,B-9,Hanshin University Museum,1740,29,중도,Yes,원삼국-백제 한성기,용인 고림동 B-9
127.347222E,37.350278N,경기,Charcoal,광주 곤지암리,30,Korea Institute of Heritage,1740,30,중도,No,원삼국-백제 한성기,광주 곤지암리 30
127.251285E,37.395281N,경기,Charcoal,광주 역동,3,History Institute of Heritage,1740,30,중도,No,원삼국-백제 한성기,광주 역동 3
128.397984E,37.390637N,강원,Charcoal,평창 후평리,가-3,Gangwon Research Institute of Archaeological and Cultural Properties,1740,30,중도,No,원삼국-백제 한성기,평창 후평리 가-3
128.397984E,37.390637N,강원,Charcoal,평창 후평리,가-12,Gangwon Research Institute of Archaeological and Cultural Properties,1740,30,중도,No,원삼국-백제 한성기,평창 후평리 가-12
127.944313E,37.3848N,강원,Charcoal,원주 가현동,16,Gangwon Cultural Property Research Institute,1750,29,중도,,원삼국-백제 한성기,원주 가현동 16
127.96171E,37.762661N,강원,Charcoal,홍천 성산리,24 ,Gangwon Cultural Property Research Institute,1750,50,중도,,원삼국-백제 한성기,홍천 성산리 24 
127.681392E,38.062789N,강원,Charcoal,화천 원천리,39,Yemaek Cultural Property Research Institute,1750,20,중도,,원삼국-백제 한성기,화천 원천리 39
127.444691E,37.518074N,경기,Charcoal,고속국도 45호선 여주-양평 구간,KC-002,Korea Archaeo-environment Research Institute,1750,60,중도,,원삼국-백제 한성기,고속국도 45호선 여주-양평 구간 KC-002
126.88443E,37.430142N,경기,Charcoal,광명 소하동,1 ,Korea Archaeo-environment Research Institute,1750,50,마한,,원삼국-백제 한성기,광명 소하동 1 
127.194032E,37.72955N,경기,Charcoal,남양주 장현,49,Central Institute of Cultural Heritage,1750,50,마한,,원삼국-백제 한성기,남양주 장현 49
127.018379E,38.109908N,경기,Charcoal,연천 강내리,27 ,Korea Institute of Heritage,1750,40,중도,,원삼국-백제 한성기,연천 강내리 27 
127.018379E,38.109908N,경기,Charcoal,연천 강내리,34 ,Korea Institute of Heritage,1750,29,중도,,원삼국-백제 한성기,연천 강내리 34 
127.018379E,38.109908N,경기,Charcoal,연천 강내리,38 ,Korea Institute of Heritage,1750,50,중도,,원삼국-백제 한성기,연천 강내리 38 
127.085653E,37.275062N,경기,Charcoal,용인 영덕동,14-3 ,Gijeon Cultural Property Research Institute,1750,50,마한,,원삼국-백제 한성기,용인 영덕동 14-3 
126.515606E,37.476826N,경기,Charcoal,인천 운남동,B-KC-001,Korea Archaeo-environment Research Institute,1750,50,마한,,원삼국-백제 한성기,인천 운남동 B-KC-001
126.760831E,37.726843N,경기,Charcoal,파주 운정,Wadong Ⅳ-21-12 ,Gyounggi Cultural Property Research Institute,1750,50,마한,,원삼국-백제 한성기,파주 운정 Wadong Ⅳ-21-12 
127.172105E,37.865923N,경기,Charcoal,포천 자작리,14,Giho Cultural Heritage Research Center,1750,30 ,중도,,원삼국-백제 한성기,포천 자작리 14
127.172105E,37.865923N,경기,Charcoal,포천 자작리,17,Giho Cultural Heritage Research Center,1750,30 ,중도,,원삼국-백제 한성기,포천 자작리 17
127.115987E,37.53396N,경기,Charcoal,서울 풍납토성,나-7,National Research Institute of Cultural Heritage,1750,50,중도,,원삼국-백제 한성기,서울 풍납토성 나-7
127.192812E,37.579804N,경기,Charcoal,하남 명월동 구산,12 ,Korea Institute of Heritage,1750,60,마한,,원삼국-백제 한성기,하남 명월동 구산 12 
127.192812E,37.579804N,경기,Charcoal,하남 명월동 구산,4 ,Korea Institute of Heritage,1750,60,마한,,원삼국-백제 한성기,하남 명월동 구산 4 
127.347222E,37.350278N,경기,Charcoal,광주 곤지암리,22,Korea Institute of Heritage,1750,30,중도,No,원삼국-백제 한성기,광주 곤지암리 22
127.850603E,37.691398N,강원,Charcoal,홍천 하화계리,1,Gangwon Archaeological Culture Research Institute,1750,29,중도,,원삼국-백제 한성기,홍천 하화계리 1
127.117257E,37.400068N,경기,Charcoal,성남 동판교,21-8 ,Korea Institute of Heritage,1751,36,마한,,원삼국-백제 한성기,성남 동판교 21-8 
127.751408E,37.931132N,강원,Charcoal,춘천 율문리∙천전리,Yulmun 335-4: 3,Gangwon Cultural Property Research Institute,1756,36,중도,,원삼국-백제 한성기,춘천 율문리∙천전리 Yulmun 335-4: 3
127.726466E,37.756309N,강원,Charcoal,춘천 군자리,2,Yemaek Cultural Property Research Institute,1758,15,중도,,원삼국-백제 한성기,춘천 군자리 2
127.115987E,37.53396N,경기,Charcoal,서울 풍납토성,나-10,National Research Institute of Cultural Heritage,1758,20,중도,,원삼국-백제 한성기,서울 풍납토성 나-10
127.536111E,37.423056N,경기,Charcoal,양평 하자포리,삼(한)-주-1,Korea Cultural Heritage Foundation,1759,17,중도,Yes,원삼국-백제 한성기,양평 하자포리 삼(한)-주-1
127.194032E,37.72955N,경기,Charcoal,남양주 장현,35,Central Institute of Cultural Heritage,1760,50,마한,,원삼국-백제 한성기,남양주 장현 35
127.672158E,37.289407N,경기,Charcoal,여주 연양리,6 ,Korea Institute of Heritage,1760,50,중도,,원삼국-백제 한성기,여주 연양리 6 
127.2135911E,37.2412159N,경기,Charcoal,용인 고림동,B-10,Hanshin University Museum,1760,40,마한,No,원삼국-백제 한성기,용인 고림동 B-10
127.251734E,37.395526N,경기,Charcoal,광주 역동,주-4,Korea Cultural Heritage Institute,1760,30,중도,No,원삼국-백제 한성기,광주 역동 주-4
