X,Y,Region,material,Site,Feature Number,Excavation istitute,BP,Error,Type,Size(cm2),Name,Area
127.098028,37.19868,경기,Unknown,화성 청계리,마-A-4,한백문화재연구원,1730,40,백제(방형),X,한백문화재연구원 화성 청계리 마-A-4,경기남부
127.098028,37.19868,경기,Unknown,화성 청계리,마-A-63  ,한백문화재연구원,1700,30,백제(방형),X,한백문화재연구원 화성 청계리 마-A-63  ,경기남부
127.687879,38.074793,강원,Charcoal,화천 거례리,1-3-청-10,강원고고문화연구원,1730,40,청동기(방형),152712,강원고고문화연구원 화천 거례리 1-3-청-10,영서
127.687879,38.074793,강원,Charcoal,화천 거례리,1-3-청-12,강원고고문화연구원,1930,40,청동기(방형),195800,강원고고문화연구원 화천 거례리 1-3-청-12,영서
127.693333,38.079166,강원,Charcoal,화천 거례리,1-4-청-10,한백문화재연구원,2180,40,청동기(장방형),342000,한백문화재연구원 화천 거례리 1-4-청-10,영서
127.693333,38.079166,강원,Charcoal,화천 거례리,1-4-청-59,한백문화재연구원,2200,40,청동기(장방형),227960,한백문화재연구원 화천 거례리 1-4-청-59,영서
127.693333,38.079166,강원,Charcoal,화천 거례리,1-4-청-64,한백문화재연구원,2080,40,청동기(장방형),153360,한백문화재연구원 화천 거례리 1-4-청-64,영서
127.681392,38.062789,강원,Charcoal,화천 원천리,109,예맥문화재연구원,1690,20,백제(呂·凸자형),710000,예맥문화재연구원 화천 원천리 109,영서
127.681392,38.062789,강원,Charcoal,화천 원천리,21,예맥문화재연구원,1725,20,백제(呂·凸자형),X,예맥문화재연구원 화천 원천리 21,영서
127.681392,38.062789,강원,Charcoal,화천 원천리,22,예맥문화재연구원,1650,20,백제(呂·凸자형),309420,예맥문화재연구원 화천 원천리 22,영서
127.681392,38.062789,강원,Charcoal,화천 원천리,23,예맥문화재연구원,1805,20,백제(呂·凸자형),X,예맥문화재연구원 화천 원천리 23,영서
127.681392,38.062789,강원,Charcoal,화천 원천리,24,예맥문화재연구원,1685,20,백제(呂·凸자형),461340,예맥문화재연구원 화천 원천리 24,영서
127.681392,38.062789,강원,Charcoal,화천 원천리,29,예맥문화재연구원,1680,20,백제(呂·凸자형),473448,예맥문화재연구원 화천 원천리 29,영서
127.681392,38.062789,강원,Charcoal,화천 원천리,30,예맥문화재연구원,1705,20,백제(呂·凸자형),357010,예맥문화재연구원 화천 원천리 30,영서
127.681392,38.062789,강원,Charcoal,화천 원천리,33,예맥문화재연구원,1685,20,백제(呂·凸자형),893800,예맥문화재연구원 화천 원천리 33,영서
127.681392,38.062789,강원,Charcoal,화천 원천리,34,예맥문화재연구원,1710,20,백제(呂·凸자형),272800,예맥문화재연구원 화천 원천리 34,영서
127.681392,38.062789,강원,Charcoal,화천 원천리,37,예맥문화재연구원,1715,20,백제(呂·凸자형),X,예맥문화재연구원 화천 원천리 37,영서
127.681392,38.062789,강원,Charcoal,화천 원천리,39,예맥문화재연구원,1750,20,백제(呂·凸자형),X,예맥문화재연구원 화천 원천리 39,영서
127.681392,38.062789,강원,Charcoal,화천 원천리,53,예맥문화재연구원,1710,20,백제(呂·凸자형),369160,예맥문화재연구원 화천 원천리 53,영서
127.681392,38.062789,강원,Charcoal,화천 원천리,65,예맥문화재연구원,1700,20,백제(呂·凸자형),899450,예맥문화재연구원 화천 원천리 65,영서
127.681392,38.062789,강원,Charcoal,화천 원천리,69,예맥문화재연구원,1690,20,백제(呂·凸자형),X,예맥문화재연구원 화천 원천리 69,영서
127.681392,38.062789,강원,Charcoal,화천 원천리,72,예맥문화재연구원,1685,20,백제(呂·凸자형),847690,예맥문화재연구원 화천 원천리 72,영서
